,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err,index_return,index_std,index_skew,index_kurt,no_stocks
return,1.0,-0.2505884154945313,0.35480905515994693,-0.19359056925658716,0.3713438443777931,0.37888104550720064,0.4480238879775703,-0.41826473723859803,-0.14763949359823125,0.8630651036077981,0.25328655262356103,0.3286302308352518,-0.7517128505184972,-0.33697793698795275
std,-0.2505884154945313,1.0,0.39303563740595027,0.170028537024001,0.08556226844193297,-0.49990038003576903,-0.4769375535704588,0.38718105856140766,-0.21759371373857572,-0.29399829695994506,-0.26707538248795665,0.011935955466354956,0.07512651809834534,-0.14560919542541212
skew,0.35480905515994693,0.39303563740595027,1.0,0.056697297107217035,0.4948279280885805,-0.23411749321646472,-0.21939816348696778,-0.04830930959266869,0.06452315959612229,0.33427396488759964,-0.08697597524117563,0.4893477799694589,-0.34122455943242547,0.09079994644535021
kurt,-0.19359056925658716,0.170028537024001,0.056697297107217035,1.0,-0.12878594372048563,-0.01462753733760828,-0.01540454646826304,0.05566492398347553,-0.37625136463872527,-0.1866444222242742,-0.14218884913993132,-0.3913451923938959,0.3433374687487968,-0.14480373468049085
alpha,0.3713438443777931,0.08556226844193297,0.4948279280885805,-0.12878594372048563,1.0,-0.45941841121769456,-0.40461326405824977,0.15531645613572778,0.5022372645910705,0.6427393289664758,0.07079834555443908,0.1663647476457655,-0.342116470107752,0.25830828637063524
beta,0.37888104550720064,-0.49990038003576903,-0.23411749321646472,-0.01462753733760828,-0.45941841121769456,1.0,0.9756859196259763,-0.6350373587517699,-0.32478262734798213,0.31171731695641974,0.3568398106693764,-0.04257798725675702,-0.06287651795123707,-0.3467844263097213
RSQ,0.4480238879775703,-0.4769375535704588,-0.21939816348696778,-0.01540454646826304,-0.40461326405824977,0.9756859196259763,1.0,-0.7068304678794015,-0.2940613599820705,0.3856720075437452,0.5117509946454509,-0.12145538246459486,-0.1591772194906797,-0.422378098702341
p_value,-0.41826473723859803,0.38718105856140766,-0.04830930959266869,0.05566492398347553,0.15531645613572778,-0.6350373587517699,-0.7068304678794015,1.0,0.20300172889516443,-0.3773612068005191,-0.6093740228903017,0.04690563549123813,0.36733102079609325,0.16813814108824096
std_err,-0.14763949359823125,-0.21759371373857572,0.06452315959612229,-0.37625136463872527,0.5022372645910705,-0.32478262734798213,-0.2940613599820705,0.20300172889516443,1.0,0.17738525880257708,0.36817356147970554,-0.10702598913901476,0.10740437225019783,0.4202436784168395
index_return,0.8630651036077981,-0.29399829695994506,0.33427396488759964,-0.1866444222242742,0.6427393289664758,0.31171731695641974,0.3856720075437452,-0.3773612068005191,0.17738525880257708,1.0,0.4343591060353719,0.14110413701813146,-0.5788016006003616,-0.19562777091174038
index_std,0.25328655262356103,-0.26707538248795665,-0.08697597524117563,-0.14218884913993132,0.07079834555443908,0.3568398106693764,0.5117509946454509,-0.6093740228903017,0.36817356147970554,0.4343591060353719,1.0,-0.48483033847835866,-0.1842180076216657,-0.2952477581955856
index_skew,0.3286302308352518,0.011935955466354956,0.4893477799694589,-0.3913451923938959,0.1663647476457655,-0.04257798725675702,-0.12145538246459486,0.04690563549123813,-0.10702598913901476,0.14110413701813146,-0.48483033847835866,1.0,-0.48421940042759876,0.42949666835451045
index_kurt,-0.7517128505184972,0.07512651809834534,-0.34122455943242547,0.3433374687487968,-0.342116470107752,-0.06287651795123707,-0.1591772194906797,0.36733102079609325,0.10740437225019783,-0.5788016006003616,-0.1842180076216657,-0.48421940042759876,1.0,0.11909519100167884
no_stocks,-0.33697793698795275,-0.14560919542541212,0.09079994644535021,-0.14480373468049085,0.25830828637063524,-0.3467844263097213,-0.422378098702341,0.16813814108824096,0.4202436784168395,-0.19562777091174038,-0.2952477581955856,0.42949666835451045,0.11909519100167884,1.0
