,portfolio: 2013-11-14,portfolio: 2014-02-14,portfolio: 2014-05-15,portfolio: 2014-08-14,portfolio: 2015-02-17,portfolio: 2015-05-15,portfolio: 2015-08-14,portfolio: 2016-02-16,portfolio: 2016-05-16,portfolio: 2016-08-15,portfolio: 2017-02-14,portfolio: 2017-05-15,portfolio: 2017-08-14,portfolio: 2018-02-14,portfolio: 2018-05-15,portfolio: 2018-11-14,portfolio: 2019-02-14,portfolio: 2019-08-14,portfolio: 2019-11-14,portfolio: 2020-02-14
portfolio: 2013-11-14,1.0,0.999998506885894,0.9999988842080355,0.999998765175159,0.9999979167955912,0.9999975913535184,0.9999977383534958,0.9999973867097114,0.9999974664439715,0.9999974363733115,0.9999984149578063,0.999997842149709,0.9999984032868842,0.9999982553822173,0.9999981902249453,0.999998505662622,0.99999854513351,0.9999984489822746,0.9999981979268014,0.9999979862751017
portfolio: 2014-02-14,0.999998506885894,1.0,0.9999997435853092,0.9999996436427152,0.9999993125144047,0.9999992543295657,0.9999989482177623,0.9999993315897165,0.999999373020747,0.9999992797743184,0.9999997931441815,0.9999995206283854,0.9999997761949037,0.9999997501316779,0.9999996167076,0.9999993078154562,0.999997473655997,0.9999989651959166,0.9999988852941626,0.999998432911914
portfolio: 2014-05-15,0.9999988842080355,0.9999997435853092,1.0,0.9999999862789063,0.9999997743234842,0.9999996714543925,0.9999994745897961,0.9999996254170002,0.9999996761819788,0.9999995375378409,0.9999998983085441,0.9999997772077324,0.9999997297767617,0.9999998807404428,0.9999998936535945,0.9999994976499439,0.9999982153717122,0.9999994097619009,0.9999993653775747,0.9999989096775397
portfolio: 2014-08-14,0.999998765175159,0.9999996436427152,0.9999999862789063,1.0,0.9999998579125847,0.9999997676103785,0.9999995997664094,0.9999997096290113,0.9999997513562653,0.9999996260274356,0.9999998939019008,0.999999834822085,0.9999997113288385,0.9999998915696381,0.9999999257016267,0.9999995230009243,0.9999983070380263,0.9999994855360349,0.9999994590800424,0.9999990108637
portfolio: 2015-02-17,0.9999979167955912,0.9999993125144047,0.9999997743234842,0.9999998579125847,1.0,0.999999974739993,0.9999998306157456,0.9999999273436817,0.9999999391307673,0.9999998386030114,0.9999997577766425,0.9999999179743828,0.9999995470888496,0.999999822732881,0.9999999195402548,0.9999993504729731,0.9999980363102411,0.9999994626465313,0.9999995192342022,0.9999990378887231
portfolio: 2015-05-15,0.9999975913535184,0.9999992543295657,0.9999996714543925,0.9999997676103785,0.999999974739993,1.0,0.9999998572750709,0.9999999776369048,0.9999999711889758,0.9999999187924288,0.9999997436055386,0.9999999475212165,0.9999995707408649,0.9999998265615772,0.9999998979642641,0.9999993638781421,0.9999979556847297,0.9999994294023857,0.999999492674878,0.9999990276550715
portfolio: 2015-08-14,0.9999977383534958,0.9999989482177623,0.9999994745897961,0.9999995997664094,0.9999998306157456,0.9999998572750709,1.0,0.9999997947034628,0.9999997335583769,0.9999998703292076,0.9999995531971074,0.9999997768857539,0.9999995146699491,0.9999996324087591,0.9999996581170744,0.9999995280894799,0.9999987005699376,0.9999997428652494,0.9999997882443146,0.9999995015362212
portfolio: 2016-02-16,0.9999973867097114,0.9999993315897165,0.9999996254170002,0.9999997096290113,0.9999999273436817,0.9999999776369048,0.9999997947034628,1.0,0.9999999903103158,0.9999999495692822,0.9999997511504426,0.999999951823048,0.9999996155940805,0.9999998416561627,0.9999998910909882,0.9999993162881051,0.9999977214803595,0.9999993169171385,0.9999993784719998,0.9999988951552237
portfolio: 2016-05-16,0.9999974664439715,0.999999373020747,0.9999996761819788,0.9999997513562653,0.9999999391307673,0.9999999711889758,0.9999997335583769,0.9999999903103158,1.0,0.9999999059485734,0.9999997612239537,0.9999999450429244,0.9999995878978973,0.9999998501791117,0.9999999256923653,0.9999992438579053,0.9999975940153055,0.9999992310180867,0.9999992893482459,0.9999987604736158
portfolio: 2016-08-15,0.9999974363733115,0.9999992797743184,0.9999995375378409,0.9999996260274356,0.9999998386030114,0.9999999187924288,0.9999998703292076,0.9999999495692822,0.9999999059485734,1.0,0.9999997197569384,0.9999999128846229,0.9999997095905407,0.9999998148449125,0.9999998098145294,0.9999994747492756,0.9999981035073889,0.9999994660386615,0.9999994990813716,0.9999991155695175
portfolio: 2017-02-14,0.9999984149578063,0.9999997931441815,0.9999998983085441,0.9999998939019008,0.9999997577766425,0.9999997436055386,0.9999995531971074,0.9999997511504426,0.9999997612239537,0.9999997197569384,1.0,0.9999999090567552,0.9999999035432094,0.9999999834280144,0.999999891543625,0.9999997066340179,0.9999981910254563,0.9999994902810297,0.999999454686005,0.9999990764256168
portfolio: 2017-05-15,0.999997842149709,0.9999995206283854,0.9999997772077324,0.999999834822085,0.9999999179743828,0.9999999475212165,0.9999997768857539,0.999999951823048,0.9999999450429244,0.9999999128846229,0.9999999090567552,1.0,0.9999997778402374,0.999999951369986,0.9999999340698762,0.999999578024533,0.9999980557291137,0.9999994902834428,0.999999514858459,0.9999990976560947
portfolio: 2017-08-14,0.9999984032868842,0.9999997761949037,0.9999997297767617,0.9999997113288385,0.9999995470888496,0.9999995707408649,0.9999995146699491,0.9999996155940805,0.9999995878978973,0.9999997095905407,0.9999999035432094,0.9999997778402374,1.0,0.9999998998361384,0.999999732946113,0.9999997890574083,0.9999984341938005,0.9999995304147661,0.9999994543887215,0.9999991755015712
portfolio: 2018-02-14,0.9999982553822173,0.9999997501316779,0.9999998807404428,0.9999998915696381,0.999999822732881,0.9999998265615772,0.9999996324087591,0.9999998416561627,0.9999998501791117,0.9999998148449125,0.9999999834280144,0.999999951369986,0.9999998998361384,1.0,0.9999999435807019,0.9999996485953714,0.9999981178215653,0.9999994629801419,0.9999994400010657,0.9999990297471388
portfolio: 2018-05-15,0.9999981902249453,0.9999996167076,0.9999998936535945,0.9999999257016267,0.9999999195402548,0.9999998979642641,0.9999996581170744,0.9999998910909882,0.9999999256923653,0.9999998098145294,0.999999891543625,0.9999999340698762,0.999999732946113,0.9999999435807019,1.0,0.9999994038063177,0.9999979103333487,0.9999993219042032,0.9999993219551783,0.9999988085270605
portfolio: 2018-11-14,0.999998505662622,0.9999993078154562,0.9999994976499439,0.9999995230009243,0.9999993504729731,0.9999993638781421,0.9999995280894799,0.9999993162881051,0.9999992438579053,0.9999994747492756,0.9999997066340179,0.999999578024533,0.9999997890574083,0.9999996485953714,0.9999994038063177,1.0,0.999999166984402,0.9999998348837807,0.9999997570818853,0.9999996909568827
portfolio: 2019-02-14,0.99999854513351,0.999997473655997,0.9999982153717122,0.9999983070380263,0.9999980363102411,0.9999979556847297,0.9999987005699376,0.9999977214803595,0.9999975940153055,0.9999981035073889,0.9999981910254563,0.9999980557291137,0.9999984341938005,0.9999981178215653,0.9999979103333487,0.999999166984402,1.0,0.9999993762296094,0.9999992148247895,0.9999994480788569
portfolio: 2019-08-14,0.9999984489822746,0.9999989651959166,0.9999994097619009,0.9999994855360349,0.9999994626465313,0.9999994294023857,0.9999997428652494,0.9999993169171385,0.9999992310180867,0.9999994660386615,0.9999994902810297,0.9999994902834428,0.9999995304147661,0.9999994629801419,0.9999993219042032,0.9999998348837807,0.9999993762296094,1.0,0.9999999818094123,0.9999999180482304
