,return,std,skew,kurt,alpha,beta,RSQ,p_value,std_err
AAN,0.016682022697891666,0.09958592094714273,-0.9864208355999108,2.8547590913668017,0.00583939535031714,0.050875672658074224,0.02118330580588724,0.2713753313172454,0.045806441273831114
AAP,0.001109907002544117,0.08334918675530041,0.16338852071118037,0.3881781868173886,0.006544790565839319,0.1291224491798126,0.09558368349749062,0.01718928967108628,0.0526085873500327
AAPL,0.013739862766160812,0.07588222625145116,-0.46572540693206615,0.1706721900784376,0.003213419507456941,0.25289080597444674,0.30389512125536383,6.045739601020019e-06,0.05069569572842157
AAT,0.00813913775900819,0.053885467608521045,0.060782412088841165,-0.04215961344652541,0.005437380618406064,0.1536678570871106,0.05658312134211633,0.06965097004617313,0.0831101330566203
ABMD,0.03476271625315269,0.12748511641595678,-0.6692690483590313,1.0908849629765696,0.005518666390302139,0.03364058428436078,0.01517831457130457,0.35256789874933037,0.03589162563396637
ABR,0.01766925622422229,0.054274060638360384,-0.08954449910655245,1.2619596782925004,0.0025024808786712864,0.2368873677863361,0.13640992015059386,0.003992232733910506,0.07894694330268012
ACC,0.007309984842706544,0.052043644174004346,0.1920709207169276,-0.5044476362817436,0.005692764014383233,0.13616176823943726,0.041440337362836456,0.12200085514186203,0.08673925513524612
ACN,0.016993325925068078,0.05060809199229693,-0.6832958838310337,1.175774043941666,-0.0016390137905244514,0.49002286565987413,0.5075164677406891,2.486890424782392e-10,0.06393662463365574
ACRE,0.01145210158715106,0.05174831185453547,0.07148252289926561,0.23556484198366334,0.0034616988666667232,0.2817304391818227,0.17540316967233602,0.0009623670334584293,0.08090930234578952
ADBE,0.02396461115019758,0.05613371282213246,-0.027984411524687364,-0.22254383981007075,-0.002980748222680062,0.40346378409607475,0.423286259696995,2.4357070774659832e-08,0.06237782008765389
ADC,0.020927554937375963,0.055336668670345764,0.09149944047464353,-0.7208723296672401,0.006244405827820984,0.02120164777377907,0.0011359069866992936,0.7999496283528482,0.08327487754422022
ADSK,0.016142973880306995,0.09786902818843583,-0.1728007650982125,0.06336928376079465,0.002890044190442547,0.2352763694030622,0.4375469801129093,1.1749871767822414e-08,0.03533227997133769
AER,0.004589695127647173,0.09135965765718247,-1.4488964342342454,3.471905567960535,0.005421949656953256,0.27586904668011286,0.5241944209482886,9.175777935024492e-11,0.03481241195071002
AERI,0.0007765545246736545,0.23841706667550436,-1.6695392481289983,9.297988422908112,0.0066790943045310375,0.011602754928752622,0.00631501575648493,0.5496495085164133,0.019277949388258123
AGIO,-0.008141112243058796,0.1690911359133053,-0.15916251330390785,-0.10962221123642157,0.007536020809514554,0.10415239439400399,0.2559515238389819,4.358607549774952e-05,0.023520881111076367
AGN,-0.006291913859132445,0.09652131053156451,0.2907501085065223,0.9236924460530815,0.00800853567541185,0.20986161422500418,0.33860234169187325,1.3398600367824164e-06,0.03884918649570326
AGNC,0.00406726772564046,0.04331239806265482,-0.7902357742899531,1.2348352078399172,0.005985229706472938,0.17281251624172886,0.04623303100795733,0.10195603144852636,0.10396393801793403
AGO,0.012425148644679416,0.0644835719725331,-0.6384374363404629,0.8530224935631519,0.003104957242190237,0.28837862118565044,0.28536572837355273,1.3150472639734687e-05,0.060445871824919326
AHT,-0.014550414867014751,0.1224964047745333,-0.5308412542778195,0.6365874991898077,0.008397384249374638,0.1174729235301649,0.17088335355805911,0.0011372177288854258,0.03427348663944503
AIN,0.01617704282609792,0.07824262020868002,0.4020047075735835,1.195446791122536,0.0014352563631237275,0.32471003320654235,0.5326668956161519,5.4573878638461315e-11,0.04028503078520479
AIR,0.010568747893263982,0.09044751381624887,-0.43344110431989447,1.1913226458534565,0.004963339168670483,0.1631948576234315,0.17979753194776252,0.0008177073699790246,0.04616764425023902
AIV,0.010636195786982518,0.04833239726977173,0.4140763957588616,0.06951756907438345,0.0038891174201242384,0.26315678202078985,0.13350063342439877,0.00443317968492425,0.08880135667759724
AIZ,0.012777799037703525,0.061309517769841324,-0.7053065346003504,-0.25739074891012104,0.0046860189645779385,0.1566846924015737,0.07615290206636242,0.03437955169983197,0.07228462991201313
AJRD,0.0200838144870739,0.09497693494682329,-0.10945072858246213,-0.010469965432546413,0.005563974703019111,0.05597192575514117,0.023321383906485676,0.24821162386974593,0.047976824790221834
AKAM,0.0067642423581000454,0.08657075520552514,0.05632602341904695,1.309621874568128,0.005955512311982772,0.10830365406845656,0.07254477709364912,0.03912432896579995,0.05129193486336503
AKG,-0.012583359038780946,0.18288019403360392,-0.558209888376011,1.5608109592958028,0.0068869617660574775,0.015803196036525264,0.006892880064091903,0.5318721409059504,0.025124948862512233
AL,0.004832821187738524,0.08983422202824176,-0.5260135446352634,1.3837025784986965,0.005261282637339201,0.2952358019474144,0.580495936619798,2.4155057521519383e-12,0.03324299064328769
ALE,0.013857099845917127,0.04496770946543797,0.536749598304027,1.2912513022655148,0.00546525180249515,0.08824737408778885,0.01299519002321367,0.3899567874039377,0.10186680402737527
ALGN,0.021440952595037602,0.12444086365971622,-1.767470124554665,7.579280338580325,0.003347450923786909,0.1558071423261254,0.3102260597207094,4.6164572166570185e-06,0.030772599691681644
ALGT,0.004023405810836218,0.10253050139622882,-0.11723114184791353,0.3993158071403875,0.00628940301620476,0.09909551233710016,0.08519059593064898,0.024893766780453956,0.04301164390573622
